ID;Imei;Device;
5698;448836FF;Motorola cd520 flip;
5699;448951FF;Motorola M3288;
5700;448952FF;Motorola V2188;
5701;448953FF;Motorola M3688;
5702;448954FF;Motorola L7089;
5703;448955FF;Motorola M3688;
5704;449090FF;Motorola L7189;
5705;449125FF;Siemens C25;
5706;449126FF;Siemens C2588;
5707;449153FF;Motorola M3888;
5708;449154FF;Motorola M6088;
5709;449155FF;Motorola T8088;
5710;449191FF;Siemens C35i;
5711;449192FF;Siemens C3508i;
5712;449193FF;Siemens C35;
5713;449194FF;Siemens M35i;
5714;449195FF;Siemens 3518i;
5715;449196FF;Siemens M35;
5716;449197FF;Siemens S35i;
5717;449198FF;Siemens 3568i;
5718;449221FF;Ascom 21 Satellite;
5719;449247FF;Siemens 3508;
5720;449328FF;NEC N601WG;
5721;449684FF;Philips TCD 989/98;
5722;449686FF;Philips TCD 208/38/18/68/88;
5723;50657017;Huawei 668;
5724;52032751;Ericsson R520m;
5725;74711800;Sony Ericsson K700i;
5726;98002800;Dopod C858G;
5727;91053560;Samsung Q5;
5728;86329100;Meizu M8 SE (Second Edition, Chinese Clon iPhone);
5729;86227500;BBK i530;
5730;52041171;Ericsson T29S;
5731;52040071;Ericsson T39M;
5732;52039645;Ericsson T39M;
5733;52039461;Ericsson T39M;
5734;52039271;Ericsson T29S;
5735;52039245;Ericsson T29S;
5736;52035051;Ericsson R520M;
5737;52034463;Ericsson T20E;
5738;52034419;Ericsson T20E;
5739;52033842;Siemens TC35;
5740;52033841;Siemens TC35;
5741;52030771;Ericsson A2628;
5742;52025361;Ericsson A2618S;
5743;52024961;Ericsson R380S;
5744;52010569;Ericsson GM12;
5745;52007361;Ericsson R320S;
5746;52007051;Ericsson R320S;
5747;52004651;Ericsson A1018S;
5748;52003941;Siemens A20;
5749;52000841;Siemens M20;
5750;52000169;Ericsson GM12;
5751;50003917;Motorola T205;
5752;49550520;Nokia 5130;
5753;49550320;Nokia 5130;
5754;49300910;Nokia 6150;
5755;49300810;Nokia 6150;
5756;49300710;Nokia 6150;
5757;49300630;Nokia 6150;
5758;49300270;Nokia 6150;
5759;49300210;Nokia 6150;
5760;49055120;Nokia 5110;
5761;49055070;Nokia 5110;
5762;49055030;Nokia 5110;
5763;49055020;Nokia 5110;
5764;49054940;Nokia 5110;
5765;49054930;Nokia 5110;
5766;49054920;Nokia 5110;
5767;49054840;Nokia 5110;
5768;49054830;Nokia 5110;
5769;49054820;Nokia 5110;
5770;00440001;Samsung SGH-E840;
5771;00440015;Nokia 5140 5500 6650 7610 7650;
5772;00440102;Motorola SLVR L7;
5773;00440107;SonyEricsson K770i, X2;
5774;00440110;Nokia N86;
5775;00460101;SonyEricsson K750i, Z300a, Z300;
5776;00460102;SonyEricsson P700i;
5777;00499901;Apple iPhone 3G;
5778;01012508;Samsung SGH-R225;
5779;01015289;Samsung SGH-V205;
5780;01030600;Samsung SGH-D415;
5781;01031900;Nokia 1100;
5782;01035400;Samsung SGH-E105;
5783;01110400;Enfora GSM0308-71;
5784;01110600;Enfora Mobile Manager 909;
5785;01110700;Enfora GSM0308-10;
5786;01118100;LG CG225;
5787;52039871;Ericsson T39M;
5788;00440000;Siemens SL75, x75;
5789;01127100;SonyEricsson W580i;
5790;01131200;Enfora GSM0108;
5791;01136400;Apple iPhone;
5792;01136500;Apple iPhone;
5793;01141200;GS-TRAQ TR-203;
5794;01143400;Apple iPhone 8gb;
5795;01147000;LG KF300D;
5796;01147200;Apple iPhone 8gb;
5797;01149800;Nokia 2760H;
5798;01154600;Apple iPhone 16Gb;
5799;01160500;Enfora GSM0128-01;
5800;01161200;Apple iPhone 3G;
5801;01161300;Apple iPhone 3G model MB489B;
5802;01161400;Apple iPhone 3G 16Gb;
5803;01162400;LG KP152Q;
5804;01166700;Nokia 2600 Classic, 2600c;
5805;01170800;VERIFONE VX510;
5806;01171200;Apple iPhone 3G 16Gb;
5807;01171300;Apple iPhone 3G;
5808;01171400;Apple iPhone 3G;
5809;01174200;Apple iPhone 3G;
5810;01174300;Apple iPhone 3G;
5811;01174400;Apple iPhone 3G;
5812;01177100;Apple iPhone 3G;
5813;01177200;Apple iPhone 3G;
5814;01177300;Apple iPhone 3G;
5815;01177400;Apple iPhone 3G;
5816;01177500;Apple iPhone 3G MB489ZA;
5817;01177600;Apple iPhone 3G 8Gb;
5818;01180800;Apple iPhone 3G;
5819;01180900;Apple iPhone 3G 16Gb;
5820;01181000;Apple iPhone 3G;
5821;01181100;Apple iPhone 3G;
5822;01181200;Apple iPhone 3G;
5823;01181300;Apple iPhone 3G;
5824;01193200;Apple iPhone 3G;
5825;01193300;Apple iPhone 3G model MB489ZP;
5826;01193400;Apple iPhone 3G 16Gb;
5827;01193500;Apple iPhone 3G 8Gb;
5828;01193600;Apple iPhone 3G 8Gb;
5829;01194800;Apple iPhone 3Gs model MB718LL;
5830;01194900;Apple iPhone 3GS;
5831;01195000;Apple iPhone 3GS 16Gb black;
5832;01195100;Apple iPhone 3Gs;
5833;01195200;Apple iPhone 3GS;
5834;01198100;Apple iPhone 3Gs;
5835;01198200;Apple iPhone 3Gs;
5836;01198300;Apple iPhone 3Gs model MC133x;
5837;01198400;Apple iPhone 3Gs 32Gb;
5838;01198500;Apple iPhone 3G 16Gb;
5839;01202000;Apple iPhone 3G;
5840;01202100;Apple iPhone 3G;
5841;01202200;Apple iPhone 3G;
5842;01202300;Apple iPhone 3G;
5843;01202400;Apple iPhone 3G;
5844;01202500;Apple iPhone 3G A1303 16 GB;
5845;01202600;Apple iPhone 3Gs 32Gb;
5846;01202700;Apple iPhone 3GS model MC134J/A;
5847;01202800;Apple iPhone 3Gs 32Gb;
5848;01202900;Apple iPhone 3GS;
5849;01203000;China Apple iPhone 3GS 16Gb MC131ZP;
5850;01203100;Apple iPhone 3GS model MC134J/A;
5851;01203200;China Iphone 3Gs;
5852;01214600;Nokia 1661;
5853;01215300;Apple iPhone 3GS;
5854;01215400;Apple iPhone 3GS;
5855;01215500;Apple iPhone 3GS;
5856;01215600;Apple iPhone 3GS;
5857;01215700;Nokia C6-00;
5858;01215800;Apple iPhone 3GS 32Gb model MC133RS;
5859;01215900;China A1303 clone Apple Iphone 3gs MC132ZP/A;
5860;01216000;Apple iPhone 3G A1303 16 GB (Русский iPhone);
5861;01216100;Apple iPhone 3gs;
5862;01216200;Apple iPhone 3Gs 16gb;
5863;01216300;Apple iPhone 3GS 32GB model MC134J;
5864;01216400;Apple iPhone 3GS;
5865;01216600;Palm Pixi Plus;
5866;01224900;SonyEricsson J105i;
5867;01225100;SonyEricsson U1;
5868;01226100;Apple iPhone 3GS BCGA1303A;
5869;01226200;Apple iPhone 3gs;
5870;01226300;Apple iPhone 3GS;
5871;01226400;Apple iPhone 3GS;
5872;01226500;Apple iPhone 3Gs 16gb;
5873;01226600;China Apple iPhone MC 637TA, A1303;
5874;01226700;Apple iPhone 3GS;
5875;01226800;Apple iPhone 3Gs Model MC637B;
5876;01227300;01227300005903;
5877;01229100;SonyEricsson U10i Aino;
5878;01230500;SonyEricsson U8i Vivaz pro;
5879;01231200;SonyEricsson XPERIA mini, X10 mini/E10mini;
5880;01232600;Apple iPad 3G TABLET A1337;
5881;01232800;Apple iPad 3G TABLET A1337;
5882;01232900;Apple iPad 3G TABLET A1337;
5883;01233200;SonyEricsson Vivaz U5i;
5884;01233600;Apple iPhone 4;
5885;01233700;Apple iPhone 4G serial MC603B;
5886;01233800;Apple iPhone 4, MC318LL/A;
5887;01234100;SonyEricsson W595 Active Blue;
5888;01234200;SonyEricsson U20i Xperia X10 mini Pro;
5889;01235100;SonyEricsson M1i;
5890;01237900;SonyEricsson Xperia™ X10;
5891;01238200;SonyEricsson W20i;
5892;01240300;China Sony Ericsson Xperia X10 mini, X10I;
5893;01241600;Apple iPhone 4 MC605X/A;
5894;01241700;Apple iPhone 4 MC605X/A;
5895;01241800;Apple iPhone 4 (MC319LL/A) 32Gb;
5896;01241900;Apple iPhone 4G 16gb;
5897;01242000;Apple iPhone 4G 16GB MC603ZP/A;
5898;01242100;Apple iPhone 4G 16GB MC603ZP;
5899;01242200;Apple iPhone 4G 32Gb MC607Y;
5900;01242300;Apple iPhone 4G MC318LL;
5901;01242400;Apple iPhone 4G;
5902;01242500;Apple iPhone 4 / A1241;
5903;01242600;Apple iPhone 4G;
5904;01242700;Apple iPhone 4G;
5905;01242800;Apple iPhone 4 16GB MC318LL/A;
5906;01242900;Apple iPhone 4 16GB MC318LL/A;
5907;01243000;Apple iPhone 4G 32Gb;
5908;01243100;Apple Iphone 4g model MC607Y;
5909;01244800;SonyEricsson Xperia X8i, E15i;
5910;01245100;SonyEricsson Vivaz U5i;
5911;01246800;SonyEricsson U20i Xperia X10 mini Pro;
5912;01248500;SonyEricsson J108i Cedar;
5913;01253000;SonyEricsson W20i;
5914;01253300;China Apple iPhone 4 clone Model A1332;
5915;01253400;Apple iPhone 4G;
5916;01253500;Apple iPhone 4G MC603TA;
5917;01253600;Apple iPhone 4G 16gb;
5918;01253700;Apple iPhone 4G model MC605KH;
5919;01253800;Apple iPhone 4G;
5920;01253900;Apple iPhone 4G 32Gb;
5921;01254000;Apple iPhone 4Gs;
5922;01254100;Apple iPhone 4G;
5923;01254200;Apple iPhone 4G model MC603B;
5924;01254300;Apple iPhone 4G 16gb;
5925;01254400;Apple iPhone 4G;
5926;01254500;Apple iPhone 4G;
5927;01254600;Apple iPhone 4G 16GB MC605ZP;
5928;01256000;SonyEricsson Xperia X8;
5929;01257500;Apple iPhone 3GS;
5930;01261100;SonyEricsson J108 Cedar;
5931;01264500;Apple iPhone 4G 32GB model MC605VN;
5932;01264600;Apple iPhone 4G;
5933;01264800;Apple iPhone 4 16GB MC603X/A;
5934;01264900;Apple iPhone 4G;
5935;01265400;Apple iPhone 4G;
5936;01265700;Apple iPhone 4G;
5937;01265800;Apple iPhone 4G;
5938;01268200;SonyEricsson Xperia Arc ( LT15i);
5939;01268500;SonyEricsson Xperia X8 Chinese clone;
5940;10485725;SonyEricsson K750;
5941;123456;China Samsung GT-S5233W;
5942;330214;Sagem RC 919;
5943;332154;Mitsubishi Aria;
5944;332186;Alcatel OT501;
5945;332190;Alcatel OT700, OT701;
5946;332191;Alcatel OT701;
5947;332284;Alcatel OT311;
5948;332286;Alcatel OT311;
5950;332287;Alcatel OT311;
5951;332288;Alcatel OT311;
5952;332291;Alcatel OT511/512;
5953;332311;Sagem MW3036;
5954;350000;Xiamen X936;
5955;350005;Nokia 3310;
5961;350009;Nokia 5110;
5962;350012;Kapsch AG GSM-R MT;
5963;350016;Siemens SL45 U35 SL42-LAG;
5968;350019;Siemens A35 A36 A40 B35N B40;
5969;350027;Motorola M8989;
5970;350029;Motorola Timeport 260;
5971;350030;Motorola GPRS Module;
5972;350035;Motorola T191;
5973;350048;Panasonic GD52;
5974;350054;Philips CT3328 CT3229;
5975;350065;Telit Mobile Terminals GM360M;
5976;350067;Telit Mobile Terminals GM810ES;
5977;350078;Siemens S42;
5978;350100;Sony  CMD-MZ5;
5979;350101;Nokia 3310;
5980;350102;Nokia 3310;
5981;350103;Nokia 3310;
5982;350104;Nokia 3310;
5983;350105;Nokia Card Phone 2.0;
5984;350108;Nokia 6010;
5985;350109;Nokia 6091;
5986;350111;Nokia 8850;
5987;350112;Nokia 8210;
5988;350113;Nokia 6090;
5989;350115;Nokia 8210;
5990;350123;Samsung SGH-N188;
5991;350129;Samsung SGH-N288;
5992;350137;Nokia 3330;
5993;350138;Nokia 6210;
5994;350139;Nokia 3310;
5995;350140;Nokia 3210;
5996;350142;Nokia 22 (PBX Terminal);
5997;350144;Nokia 3310;
5998;350145;Nokia 3310;
5999;350146;Nokia 6210;
6000;350147;Nokia 6210;
6001;350148;Nokia 6210;
6002;350149;Nokia 9210;
6003;350150;Nokia 3330;
6004;350151;Nokia 3330;
6005;350170;Siemens S45/S45i;
6006;350172;Siemens ME 45;
6007;350187;Samsung SGH -A300;
6008;350225;NEC KMP7N3A1-1A;
6009;350301;Siemens MC35;
6010;350305;LG G510;
6011;350321;Ericsson T65S;
6012;350324;SonyEricsson  T68i / T68m;
6013;350357;Ericsson R600sc;
6014;350371;SonyEricsson T68i;
6015;350372;SonyEricsson T68i;
6016;350373;Ericsson T68i;
6017;350374;SonyEricsson T68i;
6018;350379;Ericsson F221/51m, F2411/12/13m;
6019;350389;Ericsson GM47;
6020;350403;SonyEricsson T200;
6021;350404;SonyEricsson T200;
6022;350409;Ericsson T68i;
6023;350422;SonyEricsson T600;
6024;350427;SonyEricsson T300;
6025;350428;SonyEricsson T300;
6026;350444;Ericsson P802;
6027;350446;Siemens A50;
6028;350450;Siemens MC45;
6029;350463;Ericsson T100;
6030;350464;Ericsson T100;
6031;350467;Samsung SGH-S300;
6032;350496;Ericsson GM29;
6033;350600;Nokia 3330;
6034;350602;Nokia 8210;
6035;350604;Nokia 8310 6500;
6036;350605;Nokia 3310;
6037;350606;Nokia 3310;
6038;350607;Nokia 3310;
6039;350608;Nokia 3310;
6040;350609;Nokia 3330;
6041;350610;Nokia 6210;
6042;350611;Nokia 6210;
6043;350613;Nokia 8210;
6044;350614;Nokia 8210;
6045;350624;Samsung SGH-R220;
6046;350638;Motorola T190;
6047;350642;Motorola V66i;
6048;350644;Motorola V60i;
6049;350653;Motorola CP211;
6050;350666;Siemens SL45i 6688i;
6051;350673;Siemens C45;
6052;350687;Nokia 8855;
6053;350691;Nokia 5210;
6054;350692;Nokia 3330;
6055;350693;Nokia 3330;
6056;350694;Nokia 3330;
6057;350695;Nokia 6310;
6058;350697;Nokia 6510;
6059;350698;Nokia 8910;
6060;350699;Nokia 3310;
6061;350700;Nokia 8310;
6062;350721;Samsung SGH-N620;
6063;350736;Samsung SGH-R210S;
6064;350743;Samsung SGH-R200S;
6065;350767;Nokia 3330;
6066;350768;Nokia 3330;
6067;350769;Nokia 6210;
6068;350770;Nokia 3310;
6069;350771;Nokia 3310;
6070;350772;Nokia 5510;
6071;350774;Nokia 7650;
6072;52005169;Ericsson F121s F151s;
6073;52005120;Ericsson F121s F151s;
6074;49300610;Nokia 6510;
6075;49054740;Nokia 5110;
6076;49054730;Nokia 5110;
6077;49054720;Nokia 5110;
6078;49054630;Nokia 5110;
6079;49054620;Nokia 5110;
6080;49054610;Nokia 5110;
6081;49054510;Nokia 6110;
6082;49054460;Nokia 5110;
6083;49054458;Nokia 5110;
6084;49054430;Nokia 5110;
6085;49054420;Nokia 5110;
6086;49054410;Nokia 5110;
6087;49054230;Nokia 5110;
6088;49054220;Nokia 5110;
6089;49054210;Nokia 5110;
6090;49054191;Nokia 5110;
6091;49054130;Nokia 5110;
6092;49054120;Nokia 5110;
6093;49054110;Nokia 5110;
6094;49052710;Nokia 6110;
6095;49052670;Nokia 6110;
6096;49052610;Nokia 6110;
6097;35001940;Siemens A35 A36 A40 B35N B40;
6098;35001952;Siemens A35 A36 A40 B35N B40;
6099;35001953;Siemens A35 A36 A40 B35N B40;
6100;35001954;Siemens A35 A36 A40 B35N B40;
6101;35001955;Siemens A35 A36 A40 B35N B40;
6102;35001972;Siemens A35 A36 A40 B35N B40;
6103;35001973;Siemens A35 A36 A40 B35N B40;
6104;35001980;Siemens A35 A36 A40 B35N B40;
6105;35002707;Motorola M8989;
6106;35002907;Motorola Timeport 260;
6107;35002935;Motorola Timeport 260;
6108;35003095;Motorola GPRS Module;
6109;35003545;Motorola T191;
6110;35005450;Philips	CT3328 CT3229;
6111;35007800;Siemens S42;
6112;35010110;Nokia 3310;
6113;35010120;Nokia 3310;
6114;35010180;Nokia 3310;
6115;35010191;Nokia 3310;
6116;35010205;Nokia 3310;
6117;35010210;Nokia 3310;
6118;35010220;Nokia 3310;
6119;35010260;Nokia 3310;
6120;35010263;Nokia 3310;
6121;35010280;Nokia 3310;
6122;35010291;Nokia 3310;
6123;35010310;Nokia 3310;
6124;35010320;Nokia 3310;
6125;35010330;Nokia 3310;
6126;35010380;Nokia 3310;
6127;35010391;Nokia 3310;
6128;35010410;Nokia 3310;
6129;35010413;Nokia 3310;
6130;35010420;Nokia 3310;
6131;35010480;Nokia 3310;
6132;35010491;Nokia 3310;
6133;35010580;Nokia Card Phone 2.0;
6134;35010820;Nokia 6010;
6135;35010920;Nokia 6091;
6136;35011110;Nokia 8850;
6137;35011140;Nokia 8850;
6138;35011210;Nokia  8210;
6139;35011393;Nokia 6090;
6140;35011510;Nokia 8210;
6141;35012398;Samsung SGH-N188;
6142;35013720;Nokia 3310;
6143;35150504;Nokia 6330c;
6144;44927010;Motorola V50;
6146;44927009;Motorola V50;
6148;44926907;Motorola T180;
6149;44924737;Siemens 3508;
6150;44924207;Motorola T250;
6151;44921893;Nokia 5110;
6152;44921891;Nokia 5110;
6153;44921830;Nokia 5110;
6154;44921820;Nokia 5110;
6155;44921520;Nokia 6091;
6156;44921440;Nokia 6210;
6157;44921420;Nokia 6210;
6158;44921210;Nokia Premicell;
6159;44921170;Nokia 9110;
6160;44920994;Nokia 5110;
6161;44920993;Nokia 5110;
6162;44920991;Nokia 5110;
6163;44920940;Nokia 5110;
6164;44920930;Nokia 5110;
6165;44920920;Nokia 5110;
6166;44920870;Nokia 6110;
6167;44920810;Nokia 6150;
6168;44920420;Nokia 3210;
6169;44920320;Nokia 3210;
6170;44920120;Nokia 3210;
6171;44920020;Nokia 3210;
6172;44919755;Siemens S35i;
6173;44919754;Siemens S35i;
6174;44919753;Siemens S35i;
6175;44919752;Siemens S35i;
6176;44919751;Siemens S35i;
6177;44919737;Siemens S35i;
6178;44919537;Siemens 3518i;
6179;44919470;Siemens M35i;
6180;44919457;Siemens M35i;
6181;44919456;Siemens M35i;
6182;44919455;Siemens M35i;
6183;44919454;Siemens M35i;
6184;44919453;Siemens M35i;
6185;44919452;Siemens M35i;
6186;44919438;Siemens M35i;
6187;44919239;Siemens C3508i;
6188;44919173;Siemens S35i;
6189;44919172;Siemens S35i;
6190;44919158;Siemens S35i;
6191;44919157;Siemens S35i;
6192;44919152;Siemens S35i;
6193;35126600;Sony Ericsson GR47 GT47;
6194;01010100;Sierra Wireless Inc;
6195;35634101;Samsung SGH-P520 Armani;
6197;49052100;Nokia 6110;
6198;49052091;Nokia 5110;
6199;49052070;Nokia 5110;
6200;49052040;Nokia 5110;
6201;49052030;Nokia 5110;
6202;49052020;Nokia 5110;
6203;49052010;Nokia 5110;
6204;49051910;Nokia TFE 2;
6205;49051820;Nokia 6110;
6206;49051810;Nokia 6110;
6207;49050341;Siemens A1;
6208;49050210;Nokia 8110i;
6209;44965609;Motorola M3888;
6210;44965607;Motorola M3888;
6211;44965589;Motorola nezinau :);
6212;44934120;Nokia 8210;
6213;44934110;Nokia 8210;
6214;44933920;Nokia 3210;
6215;44933820;Nokia 6210;
6216;44933720;Nokia 6210;
6217;44933370;Nokia 6210;
6218;44933320;Nokia 6210;
6219;44931620;Nokia 3210;
6220;44931610;Nokia 3210;
6221;44931520;Nokia 3210;
6222;44931480;Nokia 3210;
6223;44931420;Nokia 3210;
6224;44931310;Nokia 7110;
6225;44931070;Nokia 6150;
6226;44930910;Nokia 8210;
6227;44930630;Nokia 8210;
6228;44930610;Nokia 8210;
6229;44930395;Nokia 5110;
6230;44930391;Nokia 5110;
6231;44930340;Nokia 5110;
6232;44930291;Nokia 5110;
6233;44930240;Nokia 5110;
6234;44930230;Nokia 5110;
6235;44930220;Nokia 5110;
6236;44928110;Motorola T191;
6237;44928109;Motorola T191;
6238;44928107;Motorola T191;
6239;44928007;Motorola V70;
6240;44927707;Motorola V60;
6241;44926910;Motorola T180;
6242;44926909;Motorola T180;
6243;44919151;Siemens C35i;
6244;44919142;Siemens C35i;
6245;44917608;Motorola P7389;
6246;44917340;Motorola T2288;
6247;44917310;Motorola T2288;
6248;44917309;Motorola T2288;
6249;44915120;Nokia 3210;
6250;44915010;Nokia 3210;
6251;44914380;Nokia 3210;
6252;44914340;Nokia 3210;
6253;44914310;Nokia 3210;
6254;44914240;Nokia 3210;
6255;44914210;Nokia 3210;
6256;44912556;Siemens C25;
6257;44912555;Siemens C25;
6258;44912541;Siemens C25;
6259;44912532;Siemens C25;
6260;44895408;Motorola L7089;
6261;44895407;Motorola L7089;
6262;44890410;Nokia 7110;
6263;44890380;Nokia 3210;
6264;44890360;Nokia 3210;
6265;44890310;Nokia 3210;
6266;44890270;Nokia 8210;
6267;44889688;Nokia 3210;
6268;44889680;Nokia 3210;
6269;44889660;Nokia 3210;
6270;44889620;Nokia 3210;
6271;44889610;Nokia 3210;
6272;44889510;Nokia 7110;
6273;44888654;Siemens C25;
6274;44888652;Siemens C25;
6275;44867459;Philips	Savvy;
6276;44867455;Philips Savvy;
6277;44796789;Samsung SGH-400;
6278;35956001;Nokia 2360;
6279;44776908;Motorola CD930;
6280;44691951;Siemens S6;
6281;38904400;Prototype Series;
6282;35996601;Alcatel One Touch E101;
6283;35996101;LG KP100;
6284;35994402;LG KU990 Viewty;
6285;35991501;Samsung SGH-U600;
6286;35991301;Samsung SGH-J700;
6287;35988601;SonyEricsson  W580c W580i;
6288;35988501;SonyEricsson S500c S500i;
6289;35985001;Nokia 6120c;
6290;35984901;Nokia 6120c;
6291;35984302;SonyEricsson T303i;
6292;35983902;SonyEricsson W380i;
6293;35983801;Nokia 1600;
6294;35983601;Nokia 6131;
6295;35983501;Nokia 6300;
6296;35983301;Nokia 2310;
6297;35983201;Nokia 2310;
6298;35983101;Nokia 2310;
6299;35983100;Nokia 2310;
6300;35983001;Nokia  3500c;
6301;35982901;Nokia  3110c;
6302;35982801;Nokia 6080;
6303;35982601;Nokia 2610;
6304;35982501;Nokia 6085;
6305;35982201;Nokia 2630;
6306;35982101;Nokia 1110i;
6307;35981801;Nokia 2760;
6308;35981701;Nokia 2760;
6309;35981601;Nokia 5200;
6310;35981501;Nokia 5300;
6311;35981401;Nokia 7373;
6312;35981201;Nokia 6300;
6313;35981101;Nokia 6300;
6314;35981100;Nokia 6300;
6315;35981001;Nokia 6300;
6316;35980901;Nokia 6300;
6317;35980801;Nokia 6120c-1;
6318;35977900;Samsung SGH-X500;
6319;35977701;Samsung SGH-J600;
6320;35977501;SonyEricsson W810a W810c W810i;
6321;35977401;Samsung SGH-C520;
6322;35977301;Samsung SGH-C260;
6323;35977201;Samsung SGH-C260;
6324;35976101;Samsung SGH-D900i D908i;
6325;35975701;SonyEricsson K800c K800i;
6326;35970901;SonyEricsson J120c J120i;
6327;35970701;SonyEricsson W200a W200c W200i;
6328;35969601;Samsung SGH--U700 Ultra Edition II;
6329;35969302;Samsung SGH-J700 J708;
6330;35967501;RIM Blackberry Pearl 8100;
6331;35965402;Samsung SGH-F480 F488 Tocco;
6332;35980402;Samsung E1120;
6333;35979903;Samsung S3100 Croy;
6334;35977601;Samsung SGH-E250;
6335;35977101;Samsung SGH-C170;
6336;35975503;Samsung  E1080T, Guru1080;
6337;35973901;Sagem my330V;
6338;35972920;Nokia 6670;
6339;35968980;Zerone G12 Panther;
6340;35967901;Sagem my330V;
6341;35967601;XP1 Toughphone;
6342;35967502;Alcatel One Touch 363;
6343;35966203;Samsung S5230 Star, Avila, Tocco Lite;
6344;35965903;Samsung E1151;
6345;35965202;Samsung B7610 Omnia PRO, QWERTY;
6346;35964797;Alcatel One Touch E100;
6347;35962201;Motorola RAZR2 V8;
6348;35962101;Motorola W156 W160 W175 W180;
6349;35961601;Motorola RAZR V3;
6350;35961501;Motorola RAZR V3;
6351;35961402;RIM Blackberry Bold 9000;
6352;35960301;Motorola W377;
6353;35960201;Motorola W377;
6354;35959901;SonyEricsson  J110a J110c J110i;
6355;35959302;Samsung SGH-E250;
6356;35959301;Samsung SGH-X576;
6357;35869803;Samsung E1080T, Guru1080;
6358;35958603;Samsung C3050 C3053 Stratus;
6359;35958401;SonyEricsson W660c W660i;
6360;35957501;Nokia 2630;
6361;35957301;Nokia 1110i;
6362;35957201;Nokia 1110i;
6363;35957101;Nokia 1112;
6364;35956901;Nokia N73-1;
6365;35956810;Nokia N73-1;
6366;35956801;Nokia N73-1;
6367;35956701;Nokia N70-1;
6368;35956601;Nokia N70-1;
6369;35956501;Nokia 1650;
6370;35956301;Nokia 1650;
6371;35956201;Nokia 5310 XpressMusic;
6372;35956101;Nokia  3109c;
6373;35734404;Samsung GT-C6712;
6381;35955901;Nokia 2630;
6382;35955301;Nokia 1200;
6383;35955201;Nokia 6030;
6384;35955101;Nokia 6288;
6385;35955001;Nokia 5200;
6386;35954801;Nokia 1112;
6387;35954701;Nokia 2310;
6388;35954401;Nokia 6300;
6389;35954201;Nokia N 95-2;
6390;35954001;Nokia  3109c;
6391;35953901;Nokia  3110c;
6392;35953801;Nokia 6300;
6393;35953701;Nokia 6300;
6394;35953601;Nokia 6070;
6395;35953501;Nokia 2310;
6396;35953401;Nokia 1200;
6397;35953400;Nokia 1200;
6398;35952701;Nokia 2310;
6399;35952603;Samsung B3410 CorbyPlus, Delphi;
6400;35952601;Nokia 2626;
6401;35950202;LG KF300;
6402;35950201;SonyEricsson  W960i;
6403;35949602;Samsung SGH-E250;
6404;35949202;Samsung S5050 P;
6405;35948502;RIM Blackberry Curve 8900;
6406;35948402;RIM Blackberry Storm 9500;
6407;35947803;SonyEricsson  W205;
6408;35947602;LG KP100;
6409;35947303;SonyEricsson W995;
6410;35946802;Samsung S3030 Tobi;
6411;35945701;SonyEricsson W810a W810c W810i;
6412;35945101;SonyEricsson K810i;
6413;35944900;Telit Mobile Terminals GC864-QUAD-PY  used in Arma Tech. AT100 GPS Tracker;
6414;35944503;Samsung C3510 Genoa;
6415;35944301;SonyEricsson T250a T250i T258c;
6416;35943601;Samsung SGH-D900i D908i;
6417;35943003;RIM BlackBerry Curve 8520;
6418;35942903;RIM BlackBerry Curve 8520;
6419;35941903;SonyEricsson Xperia™ X10;
6420;35939503;RIM Blackberry Bold 9700;
6421;35938703;SonyEricsson U5i Vivaz Kurara;
6422;35938103;Samsung S3550 Shark 3, Shark Slider;
6423;35937403;Nokia N97-1 N97i;
6424;35937303;Nokia 1661 1661-2 1662 1662-2;
6425;35937203;Nokia 1208 1209;
6426;35937103;Nokia 5130 5130c-2;
6427;35937003;Nokia 2730c-1 2730c;
6428;35936903;Nokia 1208 1209;
6429;35936803;Nokia  5530;
6430;35936703;Nokia X3-00;
6431;35936403;Nokia  1661 1661-2 1662 1662-2;
6432;35936003;Nokia 2700c 2700c-2;
6433;35935903;Nokia 2330c 2330c-2 2332c;
6434;35935703;Nokia E71-1;
6435;35935503;Nokia 5130 5130c-2;
6436;35935203;Nokia 1202 1202-2 1203-2;
6437;35935103;Nokia 5230 5233 Nuron;
6438;35935003;Nokia 2720a-2 2720a;
6439;35935002;Nokia 5630d-1;
6440;35934902;Nokia 1200;
6441;35934803;Nokia 1661 1661-2 1662 1662-2;
6442;35934802;Nokia 5800d-1b;
6443;35934801;SonyEricsson Z250i Z250c;
6444;35934702;Nokia 6300;
6445;35934602;Nokia 1200;
6446;35934601;SonyEricsson K550c K550i;
6447;35934503;Nokia C5-00;
6448;35934403;Nokia  2700c 2700c-2;
6449;35934402;Nokia 2680s 2680s-2;
6450;35934302;Nokia 3110c;
6451;35934202;Nokia 2630;
6452;35934102;Nokia 1208 1209;
6453;35934003;Nokia 7100s 7100s-2;
6454;35933903;Nokia 5800d-1b;
6455;35933703;Nokia 1202 1202-2 1203-2;
6456;35933702;Nokia 1650;
6457;35933603;Nokia 5130 5130c-2;
6458;35933403;Nokia 6700S;
6459;35933303;Nokia 6303c;
6460;35933302;Nokia 1208 1209;
6461;35933203;Nokia 1208 1209;
6462;35933103;Nokia 1208 1209;
6463;35933002;Nokia E51-1;
6464;35932903;Nokia 1202 1202-2 1203-2;
6465;35932902;Nokia 5130 5130c-2;
